distance,carrion_c,carrion_u,distancef,fruit_c,fruit_u
63.31706457,0.973797595,1,41.32420774,0.564536708,0.936883629
89.12329706,0.671963568,1,113.5278959,0.969327292,0.895199764
153.0135182,0.847945786,0.773451099,167.56105,0.653908479,0.890350981
258.3133247,0.766251295,0.983277592,343.3255917,1,0.821197031
330.3941413,0.796228392,0.965853659,378.4289095,0.646496541,0.831789864
338.050361,0.73083821,0.95366535,391.89605,0.730032108,0.859388747
380.4927421,0.735483871,0.766040604,427.3583111,0.665221944,0.763294635
57.91836613,1,1,72.22489984,0.843782173,1
119.3912426,1,0.853780671,126.5351469,1,1
306.6927575,0.843621736,1,344.8477114,0.771297977,0.983131533
370.9418555,0.964578285,1,375.5390056,0.819854273,1
386.6372274,0.705432717,1,394.7651003,0.67640219,0.942316075
430.5391346,0.775710088,1,426.3983214,0.914860508,0.773799942
65.37917744,0.747863248,0.616964145,56.92447131,0.865081018,1
280.6551935,0.6456743,0.826463104,361.8552546,0.923039395,1
335.1464093,0.601247873,0.840840841,384.189559,0.777947107,0.956504429
359.0958302,0.4085844,0.742268041,412.6172113,0.864581933,1
404.1577323,0.426944972,0.712741207,437.0994743,0.899028952,0.728290879
296.2909677,0.674168694,0.361275285,362.3532511,0.788478198,1
335.370072,0.758519419,0.69216152,377.4891567,0.880051017,1
370.0947356,0.550250378,0.37555942,412.5408181,0.723190179,1
415.5281497,0.631853786,0.988580453,430.8519973,0.898159041,0.909533074
87.56430895,1,1,50.64407669,0.647025471,0.797342193
80.02040024,0.995580138,1,50.76221699,0.764743485,0.96215069
124.0347189,0.977132068,0.484076433,86.04859055,0.762148838,0.563249156
64.90723304,0.998863083,1,56.10486723,0.93711858,0.963167024
98.14030463,1,0.951351351,53.36480029,0.927546312,0.946683459
45.46026259,0.998176846,0.66542936,50.70148621,0.888689218,0.971395213
