distance,carrion_c,carrion_u,distancef,fruit_c,fruit_u
71.32324566,0.983390197,0.950198165,131.5362656,1,1
176.4957963,0.672669585,0.64320126,185.4271693,1,0.673192079
259.4885492,0.954882935,0.538515217,602.7762776,1,0.918869794
597.9982481,1,0.952083203,636.6256264,1,0.846569763
740.5903659,0.82967224,0.688603649,547.4502488,1,0.970583255
687.2170811,0.683190065,0.864034197,475.2279896,1,0.974313224
552.0067532,0.907601444,0.853615584,422.840892,1,0.990964242
486.4884743,0.996551897,0.776447703,885.1119152,1,0.895567713
905.0373498,0.635290427,0.424479905,850.3867125,0.973591192,0.420600324
925.3096997,0.603397279,0.333383552,875.1179913,1,0.946490973
970.2721231,0.813587283,0.627998074,914.2633972,1,0.531588548
877.3517265,0.668780755,0.384297759,706.4346975,1,0.947101732
131.8999434,0.908327502,0.665232983,106.1843868,1,0.72764847
194.4909657,0.973626826,0.363803523,726.4557449,1,0.960944945
574.1208055,0.756204566,0.773586896,763.6254257,1,0.876033822
719.8000762,0.693130369,0.585656757,676.7670023,1,0.945766162
675.0724277,0.731213623,0.725293537,606.7642301,1,0.984648767
545.9246118,0.80787036,0.801538575,550.8889299,1,1
494.4627945,0.919246439,0.463146183,1016.572484,1,0.957724341
899.5160662,0.345853378,0.315759023,978.7667075,1,0.472550766
906.5972867,0.320809362,0.258112187,997.178803,1,0.978242204
942.6710129,0.511358357,0.530219347,1029.481509,1,0.57363422
862.9780493,0.624314097,0.302000088,833.5452854,1,0.986684674
113.1893872,0.893913767,0.464088529,723.0019532,1,0.733858034
675.7030408,0.493378407,0.355185433,767.7517785,1,0.766859932
823.0046195,0.295292576,0.638393035,689.6596972,1,0.593482108
787.5957768,0.539026571,0.435109803,637.4094842,1,0.750298069
664.7394331,0.482399264,0.80926611,601.2513137,1,0.758065584
621.8605715,0.71659359,0.32256643,1040.606642,1,0.829661411
1016.289157,0.175171964,0.132518419,985.0396714,1,0.658301158
1010.570169,0.162061289,0.061081971,987.2171367,1,0.730400008
1035.254014,0.348752944,0.321990392,1007.183374,1,0.835474657
971.8828612,0.540621866,0.344288629,837.1559949,1,0.757883911
643.6029695,0.860291408,0.410617425,67.18754998,1,0.843972685
789.969876,0.604737962,0.592272592,116.1504153,1,0.869212832
767.9685819,0.650855101,0.282294137,240.5892719,1,0.881862105
657.8710063,0.701451805,0.201803772,367.9043816,1,0.950145557
634.8531362,0.833193156,0.405902082,378.2959062,1,1
1000.586974,0.405994153,0.125147185,269.0228706,1,0.628281623
976.0666653,0.35819036,0.292512709,273.0050132,1,0.994922404
987.2280258,0.594467511,0.251630429,331.8405974,1,0.708192809
944.4164938,0.552760232,0.129388639,122.3685524,1,0.966475604
147.375747,0.767428786,0.548392344,102.113712,1,0.685488955
143.5605003,0.598552369,0.819056083,226.4407809,1,0.96966468
149.4841624,0.815807231,0.599101796,354.9410683,1,0.861411901
259.3433229,0.782529367,0.910854188,312.3143142,1,0.857466685
369.896859,0.675018418,0.262999371,217.3298069,1,0.411057692
334.8962248,0.657378741,0.406971728,254.7149564,1,0.798288787
373.1388024,0.858873365,0.556005769,335.7127991,1,0.519921768
301.098315,0.630436626,0.318627145,69.92392467,1,0.953169002
100.6584151,0.965875371,0.639773096,127.1284756,1,0.878509332
224.9952338,1,0.69029158,255.8957152,1,0.938444232
341.1816867,0.830030199,0.662626839,357.389174,1,0.811635193
246.8532572,0.434916256,0.251077973,303.6729895,1,0.414269275
187.5674547,0.540493112,0.303865013,356.7556069,1,0.910218828
241.8288268,0.682158921,0.589798543,435.1068064,1,0.51664154
158.4418953,0.704748906,0.239771858,166.2742911,1,0.827361261
142.3947398,0.752457229,1,128.8431941,1,0.996680981
251.1911927,0.671550531,0.856034854,410.5879128,1,0.897684223
233.1984506,0.409701429,0.400148858,404.0227085,1,0.451943652
246.5611027,0.509577048,0.375154321,478.2698734,1,0.904125025
330.366713,0.538581021,0.865977985,561.6161239,1,0.509009595
190.7940111,0.794002608,0.592709984,283.3979135,1,0.955256166
117.8859718,0.840779596,0.619132426,497.2094088,1,0.973428634
353.8061069,0.444845278,0.344127333,520.352561,0.968238592,0.582601454
388.9354075,0.454836643,0.120406568,604.9288942,1,0.973419318
465.9588799,0.650161857,0.676313091,690.3830883,1,0.570594759
331.7065941,0.480823463,0.613047364,409.4409853,1,0.952741583
431.1771366,0.432870494,0.343750648,176.1623517,1,0.704811151
494.7629681,0.434385407,0.411863641,326.2046887,1,0.978697001
580.3533264,0.587534256,0.483715511,446.7031233,1,0.697294016
431.939482,0.571062723,0.344694036,264.1953843,1,0.978305686
171.1816191,1,0.463894643,151.2835662,1,0.56316932
300.8054043,0.853930333,0.754532092,272.2937762,1,0.737620358
115.6207814,0.667251674,0.379310345,148.5539004,0.90817855,0.457539767
129.8444749,0.953042512,0.747841847,121.017214,1,0.622073821
72.22743801,0.848533548,0.122424729,195.5452942,1,0.956278028
197.0354935,0.883717997,0.581388187,290.9220892,1,0.600692955
