distance,carrion_c,carrion_u,distancef,fruit_c,fruit_u
68.57316353,1,0.894621819,26.53200721,1,0.924847334
83.45373567,0.931663311,1,110.2439007,0.978872681,0.998285419
175.286744,0.961683338,0.986895945,213.6770704,0.955334516,0.919373779
350.3570672,0.981737689,0.721707107,407.8989306,0.828908921,0.662293856
400.4971984,0.884446451,0.690669446,495.465967,0.866448475,0.827327976
467.1784159,0.916675133,0.68912138,544.3031141,0.964401674,0.816712743
609.9467091,0.923579239,0.736329341,690.9111704,0.813624123,0.805214024
78.598769,0.89429024,0.841894421,85.97808612,1,0.962482586
178.3130946,0.94034325,0.771284169,187.1477675,0.930180927,0.994552004
405.2946105,0.961797658,0.60253085,430.7190564,0.788988292,0.560145594
449.5058631,0.863044768,0.695228224,518.0115106,0.83091192,0.704216244
516.8795486,0.89480211,0.731031474,568.0603678,0.94647742,0.812620659
662.7558925,0.910916146,0.727624281,713.9486472,0.771989921,0.790433312
100.9562654,1,0.97751369,118.4222016,0.868090151,0.96239041
429.1618899,0.928897977,0.692295388,482.9956004,0.678088504,0.726444931
482.0032025,0.890663494,0.80289671,567.9897907,0.713917238,0.866881484
548.224468,0.915960313,0.756614749,623.5478014,0.882024442,0.899857385
689.0932295,0.94394721,0.808132767,764.8707104,0.664027043,0.885394733
495.710363,0.958378129,0.680999191,601.4163324,0.956824997,0.596262719
555.0463328,0.912530657,0.699463924,686.2966702,0.964326623,0.721128551
619.0689942,0.930424369,0.642213587,741.9424244,1,0.843296941
753.2415953,0.97111493,0.720026816,883.1546886,0.947664542,0.808894419
71.12083716,0.925647442,0.870524982,87.92157219,0.993769476,0.883926297
125.1953621,0.932962916,0.958561224,141.4565913,0.94243061,0.934170543
259.9321128,0.969369733,0.942154667,283.2801358,1,0.909747437
67.44654541,1,1,70.17817092,0.956249639,0.906129065
215.8844098,0.995720177,0.989236746,196.89373,0.984230656,0.972366735
149.3988536,1,1,150.6226628,0.935255138,0.980241374
