distance,carrion_c,carrion_u,distancef,fruit_c,fruit_u
105.4519435,0.794999618,0.862863882,102.3371469,0.617835521,0.311131732
356.2503671,0.810266495,0.867817699,316.7630491,0.75296005,0.423137748
450.1122474,0.886351671,0.932851985,398.8484574,0.457092563,0.480128962
454.5651414,0.899359561,0.524513544,403.2286421,0.505824296,0.734749699
478.3113728,0.849441556,0.570769629,420.8751837,0.610558834,0.682684644
405.1392581,0.868760708,0.580815333,376.9147511,1,0.82576069
324.9942338,0.776668832,0.563264721,327.3716537,0.994445211,0.699497397
297.3032532,0.765551128,0.58584731,323.7312193,0.816113744,0.685499383
418.3504394,0.844674246,0.694590868,494.2471315,0.363129408,0.634857929
479.929669,0.785635023,0.626758942,553.4803595,0.537269714,0.54474511
554.0655725,0.816987316,0.619232105,561.6393428,0.509812952,0.412100492
585.2266577,0.846016458,0.479911067,628.6584345,0.443551396,0.557608991
662.7403087,0.725660511,0.548732655,610.2984282,0.14124879,0.565020447
605.0246526,0.917028368,0.611917376,552.6603021,0.560226551,0.821789773
552.9563896,0.793731374,0.676544389,483.6102119,0.431282273,0.721441795
259.749085,0.877167385,0.96210725,215.7358169,0.570914837,0.932860848
359.5904873,0.958464369,0.921334034,297.5533229,1,0.955904998
385.9288211,0.889015931,0.593912651,308.6774784,0.577377638,0.063882986
433.2121598,0.954720337,0.78350385,340.5018829,0.702383762,0.072838156
382.0194165,0.875432802,0.68416833,319.8081152,1,0.114317254
323.7449019,0.963422151,0.679807861,283.8761887,0.954689695,0.112731879
309.2174146,0.996111555,0.723713893,308.3883168,0.829666981,0.131296868
455.7869887,0.880391107,0.645570817,473.9680511,1,0.090681338
508.2118347,0.896363287,0.58220374,520.123094,0.876460768,0.118676399
572.7656358,0.927466261,0.555733267,513.4906126,0.741635066,0.111324636
583.7909989,0.84646521,0.464915325,566.9577058,0.767362458,0.111646783
636.6045548,0.846944939,0.485831327,532.2068409,0.701255178,0.101092085
574.6714486,0.856428452,0.526714462,472.5821759,0.740126539,0.196966313
515.5564862,0.934013465,0.618622387,397.2722949,0.476158972,0.123967231
106.2755822,0.922965344,0.930225115,82.1437714,0.650549982,0.989575132
194.3555742,0.877460642,0.602261819,188.3919889,0.566463404,0.174012198
299.7502653,0.883442703,0.74255592,277.549444,0.530239399,0.129047754
323.9003934,0.853137116,0.61270688,334.6890576,0.715227572,0.234086946
341.1334041,0.906937056,0.575400919,341.3643759,0.561252223,0.219487359
361.0281995,0.776406261,0.625215096,411.031872,0.471430362,0.170918981
520.796167,0.738317397,0.561602342,539.9662252,0.274387769,0.132363904
542.986497,0.762744718,0.538138168,553.8600012,0.534527547,0.107418022
574.8002097,0.785741964,0.490783256,513.9636526,0.429059181,0.119232652
535.134281,0.738642451,0.476292092,525.9874153,0.563830457,0.122612997
519.2369024,0.670388318,0.425765932,444.4697485,0.143866529,0.109543787
454.3184346,0.750818415,0.457248552,384.9593874,0.58256513,0.206358896
385.9597157,0.845831539,0.558257936,297.1449858,0.594794874,0.175363331
133.0925204,0.962267218,0.453219557,184.4708814,0.42425109,0.213883058
254.2167092,0.987037368,0.594445263,286.2065628,0.640254828,0.192974459
314.2394697,0.912302666,0.490245521,367.1268829,0.661115633,0.223539551
362.1435529,0.89953472,0.43611218,386.8519998,0.926662415,0.192662409
392.4496679,0.905261854,0.478552958,464.8624502,0.467396974,0.20803618
540.9144441,0.854208915,0.51983276,577.2124883,0.81322314,0.170223503
549.4686486,0.859101472,0.47545921,579.5930751,0.640854473,0.167641778
565.7090185,0.890625238,0.431259484,529.2321325,0.801948052,0.145000105
506.7692504,0.870861594,0.385818115,524.4456996,0.497814348,0.1625907
460.8542382,0.79939432,0.394586492,426.6171319,0.725556604,0.152053027
398.5552344,0.892488226,0.436604014,370.9420448,0.625707814,0.242409276
331.3155761,0.880067976,0.478450936,285.1599523,0.484649637,0.244489985
121.5355294,0.963088289,0.839678508,103.1686416,0.828381726,0.879903981
197.8809186,0.932931053,0.922902717,202.3306268,1,0.683259526
269.7092988,0.865317636,0.694380723,242.1302828,0.69541481,0.669417937
308.4281249,0.886812484,0.740903007,330.7112401,0.841160221,0.671826426
437.8531506,0.825861599,0.651561739,409.7370808,0.526144057,0.635931529
435.2372223,0.821263896,0.631819538,401.1034629,0.907464726,0.634880042
441.5116973,0.834844528,0.693691676,345.8689433,0.618957289,0.471932633
375.5588907,0.855306888,0.612058135,341.8736161,0.700441745,0.587969731
330.5409398,0.757474558,0.690137689,256.3641614,0.36470916,0.567499617
267.0750346,0.861119884,0.75398613,196.5834336,0.973674961,0.669323993
199.1678357,0.899617982,0.811145935,108.8235687,0.876874757,0.932078793
112.3473521,0.956124646,0.861412628,116.9952416,0.831868387,0.613664393
210.8614185,0.957009183,0.685097855,173.5780206,0.628133989,0.575825348
255.2963293,0.959969166,0.732621579,262.4970108,0.672397326,0.759104042
350.100608,0.890172002,0.66989473,313.1046819,0.409060327,0.623789461
333.631559,0.901315618,0.650075968,298.6262425,0.527529084,0.771570323
327.6100311,0.936209802,0.62405066,243.0862769,0.389176742,0.475517382
254.6269579,0.884307656,0.565298394,249.3580693,0.671336431,0.566328932
220.7332578,0.865256209,0.608359727,191.7286501,0.332615767,0.579683705
155.4576575,0.919093418,0.661945517,132.2939146,0.666156437,0.755485153
88.04448468,0.956340755,0.71607371,72.61160329,0.628528975,0.905015805
102.2688437,0.897316582,0.891620686,65.83495595,1,0.915284645
146.8253064,0.833909239,0.901214257,148.7089762,0.987718031,0.768334247
242.7527197,0.757878665,0.777067791,210.3716122,0.694281575,0.762449292
237.630986,0.751064672,0.766641423,220.0888623,0.854452727,0.651405378
253.1544977,0.802972359,0.856424627,195.2313174,0.651381719,0.633335253
216.2181783,0.730414118,0.648114771,251.7521657,0.742011834,0.716847167
257.8500456,0.688307694,0.75159502,254.9863629,0.331495866,0.723218469
200.3108214,0.840437725,0.827951833,209.1373158,0.929496789,0.872198279
155.6639598,0.849922203,0.908176031,184.4055724,0.734206733,0.701457769
44.66677919,0.95066801,0.983157657,89.87333717,0.765863925,0.814477529
180.5753615,0.900459565,0.737299023,201.9851566,0.83735449,0.596305452
205.1046006,0.924122732,0.696946431,236.763413,1,0.59259018
254.1616271,0.956709126,0.884398882,234.3438158,0.98901975,0.511654419
262.0710958,0.849592428,0.541507925,306.8026704,0.541114379,0.609298918
345.156598,0.888328952,0.614355381,320.4156711,0.764869076,0.565669935
293.9144391,0.85410429,0.693790927,274.9097214,0.852429758,0.797818083
256.5344777,0.99991541,0.854213639,244.6371698,0.644719103,0.584450686
162.7056941,0.924456376,0.747397688,170.5398269,0.637450199,0.634757251
202.0209928,0.94080053,0.700292652,234.5469245,0.656860259,0.678313608
263.6280666,0.963305719,0.856412205,262.8401503,0.531128405,0.548446181
288.4491952,0.912776422,0.549690992,354.7172166,0.805037424,0.661985719
383.9647726,0.936682386,0.602970498,393.0343678,0.29572403,0.677095275
335.1623532,0.882888356,0.680050323,353.8577517,0.962892069,0.916739121
300.3413725,0.971079577,0.83148355,332.4263239,0.358824126,0.760719232
71.32971952,0.932415138,0.919134605,85.77999296,0.844512866,0.930111097
156.5144539,0.950998943,0.845735988,156.9894596,0.761961722,0.95773638
240.3034109,0.940843093,0.663533661,264.5186806,0.53088193,1
386.1696592,0.946693619,0.860255409,355.5714776,0.952184825,1
360.8894511,0.927903675,0.898329917,341.9605027,0.581749049,0.745656929
356.577462,0.91601372,0.842317536,363.5218552,0.355962545,0.675087624
85.27728275,0.993425149,0.82629318,84.63568687,0.836986301,0.937537424
177.6877019,0.959239605,0.795089598,187.8644029,0.726415094,0.98457148
331.5079394,0.968250219,0.897030785,294.9296168,0.748021108,1
315.2255981,0.901959317,0.910849583,293.8192649,1,0.709728963
322.8716411,0.966675072,0.80032039,334.2523813,0.928513939,0.71407159
111.9688109,0.968770085,0.586705027,107.5500949,0.710559006,0.959290364
271.5706582,0.97330321,0.708597612,210.7179512,0.745420759,0.968760567
269.9004186,0.952283582,0.807997909,214.1632404,0.906398104,0.582576126
294.566414,0.974821803,0.934447974,265.3470671,0.443346729,0.548856227
159.6103217,0.945425253,0.86003938,131.3269819,0.187012987,1
162.9881767,0.972092888,0.83384297,162.7590024,0.86953959,0.803774172
200.4319364,0.917073344,0.653281953,240.5815271,0.490690339,0.657438513
65.29335349,0.889596766,0.982316334,61.01391402,0.487084066,0.748611717
133.3120449,0.943245004,0.76947155,147.6115321,0.264380798,0.605209223
68.43228487,0.873112149,0.86368388,87.84852019,0.823468787,0.743824762
