distance,carrion_c,carrion_u,distancef,fruit_c,fruit_u
218.5615289,0.919947402,0.9873067,267.4335924,1,1
490.3245743,0.722823933,0.579507582,834.2135051,0.736842105,0.449438202
964.5365279,0.739761638,0.872720349,954.6770642,1,0.354809272
1086.220985,0.871239287,0.65828846,1035.304405,1,1
1142.005481,0.640797002,0.774523763,1129.846793,0.935643564,0.915712799
1205.883699,0.559185397,0.660877747,1220.802636,1,0.284023669
1267.104343,0.678859701,0.813554886,1254.545812,1,1
1369.761805,0.438348427,0.923374124,1356.661207,1,1
1406.03588,0.792187868,0.60643574,1390.371271,1,0.04171144
1394.037528,0.703802991,0.356223382,1136.931077,0.157303371,0.04534633
1130.844251,0.561630658,0.522923585,1055.230446,0.093134646,0.446328459
1032.657016,0.731712997,0.556000681,960.63985,0.773684211,1
925.9740913,0.967906987,0.653456337,909.5934972,0.137254902,1
841.5774553,0.683325391,0.561548892,759.4294722,0.21,1
749.5656568,0.833535321,0.787441252,719.0492054,0.729166667,0.40610687
272.3667404,0.478262279,0.582139072,569.7337874,1,0.37037037
750.1114257,0.724414553,0.838986746,688.1207681,1,0.266705404
874.0247672,0.883966608,0.629381091,772.2929269,1,0.795454545
935.8747216,0.693759908,0.759597294,873.5681989,1,0.777439024
1006.591488,0.671887202,0.710138317,971.7427776,1,0.254716981
1076.547877,0.900254373,0.824093979,1015.371667,0.985915493,1
1187.694858,0.748530837,0.900039015,1126.545099,1,1
1234.531492,0.573621102,0.564903622,1172.391021,1,0.037601057
1233.066378,0.471738549,0.348531244,946.8522854,0.558282209,0.04319682
980.9665919,0.535451388,0.502250431,869.9607942,0.484270318,0.438048068
899.9007819,0.481667702,0.548800856,793.9719983,1,0.9375
787.1655161,0.863420607,0.647741465,748.1959953,0.576923077,0.704697987
722.5836263,0.557126919,0.542680328,595.7780896,0.639889197,1
608.6452876,0.579483885,0.76100033,527.8134296,1,0.426843318
480.8873511,0.534251275,0.768010323,129.7386984,0.830188679,0.119680851
607.3660962,0.578004428,0.906968968,203.5948117,1,1
677.8905721,0.366704781,0.818352494,321.8278736,0.553846154,0.519480519
758.5327064,0.246623715,0.555681416,439.6758724,0.769230769,0.652173913
841.1830071,0.295369703,0.708156583,514.403821,0.8,0.875
963.5415947,0.157662908,0.745239705,646.1347162,1,0.875
1025.51044,0.941009584,0.977722083,726.195119,1,0.030429534
1039.923845,0.994933328,0.808325656,626.4245742,1,0.01940815
813.48398,0.475332573,0.928439451,585.9541844,0.965909091,0.098868374
764.0142514,0.99137596,0.925514047,594.5241432,1,0.416666667
650.0504902,0.757223533,0.956907606,583.3273792,1,0.547945205
624.0977434,0.660734614,0.966944935,507.2443656,1,0.307328605
488.5986703,0.957897163,0.862719984,407.8965797,1,0.409482759
130.0998542,0.984253065,0.887789283,119.1298257,0.919060052,0.126404494
226.3355287,0.600502246,0.829016534,259.859199,0.557921102,0.384113811
332.6160996,0.398107207,0.5608389,387.6937976,0.720720721,0.176199616
445.0255268,0.517120567,0.730410777,480.5886949,0.784593438,0.129491474
584.8450045,0.423636102,0.985938308,616.184311,1,0.129491474
679.5165262,0.686939959,0.755146452,709.5791612,0.697885196,0.107082798
731.788712,0.541701026,0.586897248,665.8648316,0.574305426,0.030245313
611.0621199,0.71717741,0.745013711,640.1345394,0.595827659,0.400071049
649.7988406,0.562106257,0.801824358,670.1545243,1,0.075842697
574.3829142,0.880746591,0.875942442,667.5406403,0.635208711,0.257756563
638.4551459,0.925161445,0.789225545,612.104367,0.637494512,0.479725381
532.4297377,0.66709906,0.810517495,518.3713786,1,0.486325768
113.6853338,0.80658906,0.810652983,141.0627394,1,0.884955752
225.9372112,0.648444931,0.454485853,269.1247737,1,0.681818182
345.2300891,0.693217145,0.636574832,364.8834281,1,0.994318182
484.996922,0.498287705,0.863696642,500.3651244,1,0.994318182
588.346601,0.764098694,0.88834626,597.0585243,1,0.030299345
652.2896879,0.559534828,0.813525139,584.1203236,0.766315789,0.046390576
577.7263299,0.75806683,0.94769899,570.5393359,0.662020906,0.479939507
642.7695027,0.558692234,0.964280961,619.278462,1,1
587.3153172,0.984215356,0.962255747,625.7034465,0.758122744,0.689655172
670.5845125,0.879121805,0.974488165,597.5026007,0.857142857,1
584.5785967,0.688268342,0.772728707,515.6345458,1,0.59375
112.2539976,0.745916725,0.812955285,128.095175,1,1
231.7307055,0.716537913,0.95345474,227.3034251,0.6,0.865168539
371.3279123,0.473174919,0.747540215,361.8375164,0.857142857,0.865168539
475.4709709,0.565820868,0.867220208,462.3700348,0.782608696,0.030101572
542.1252868,0.343687921,0.481451266,494.4632483,0.181294964,0.02611261
492.5481896,0.724308811,0.804812236,498.8836281,0.142970612,0.15284781
574.5645371,0.327098474,0.707908557,571.1671034,0.642857143,0.92920354
536.4510327,0.704578722,0.820861516,589.1790394,0.260761589,0.837696335
632.9888578,0.549104359,0.773924605,596.427015,0.160356347,0.73594041
567.6843967,0.441786613,0.940615874,533.356005,0.863013699,0.599211564
120.1453104,0.818354136,0.927377312,108.0633925,0.714285714,0.389851485
259.1371194,0.459990311,0.529238804,237.3681958,1,0.389851485
364.6841575,0.382999621,0.549350457,342.7647061,0.895522388,0.011041803
435.4618873,0.148898388,0.206232241,433.4407458,0.124721604,0.006972731
422.6565403,0.360326907,0.433582677,458.3967751,0.111028868,0.043809747
523.879628,0.184249146,0.350690355,551.5847989,0.604026846,0.204545455
