ua1,ua3,ua5,ua7,ub1,ub3,ub5,ub7
0,1,0,0,0,0,0,0
3,1,2,10,1,3,2,6
0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0
1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0
0,0,1,0,1,0,3,0
0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0
0,0,3,0,0,0,0,2
0,1,0,2,0,0,0,1
3,1,5,3,1,1,1,0
0,0,0,0,0,1,0,0
0,1,2,2,1,3,1,3
0,0,0,2,0,0,0,0
0,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
1,0,2,0,0,0,0,0
0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0
0,0,1,0,0,0,2,0
0,0,1,1,3,3,1,0
2,0,1,2,1,0,1,0
0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1
4,2,3,0,5,5,8,2
1,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0
0,1,0,2,0,2,3,3
0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1
