ua2,ua4,ua6,ua8,ub2,ub4,ub6,ub8
2,5,2,2,1,3,3,2
2,5,3,2,0,4,2,3
0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0
1,0,1,0,1,0,4,0
1,0,0,0,0,0,0,1
0,0,0,0,1,0,1,0
2,0,0,0,1,0,0,0
3,0,5,2,2,0,2,0
0,0,0,0,0,0,1,0
1,1,3,1,0,1,1,4
0,0,0,0,0,2,0,1
0,0,0,1,0,0,1,0
0,0,0,0,0,0,1,0
0,2,1,1,1,0,2,5
1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0
1,4,2,0,3,0,2,0
0,2,1,0,1,1,1,1
0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0
0,1,0,3,0,0,1,2
0,1,1,0,0,0,0,0
9,9,7,7,6,5,5,6
6,2,1,2,0,3,5,9
8,4,1,0,0,0,0,0
0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0
0,0,1,1,0,0,0,0
0,1,0,0,0,0,0,0
0,0,1,0,1,2,0,0
