ca1,ca3,ca5,ca7,cb1,cb3,cb5,cb7
1,3,5,7,1,3,5,7
0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0
1,1,1,0,0,0,1,0
0,1,0,0,0,0,0,0
11,10,2,3,6,27,21,10
4,3,1,2,5,7,0,2
0,2,0,0,0,3,1,3
1,0,0,1,0,0,0,0
4,3,6,9,0,5,2,1
1,1,2,3,0,0,4,2
1,0,0,0,0,0,0,0
0,0,0,3,0,1,0,0
6,0,1,2,3,3,0,0
0,0,0,1,0,0,0,0
12,13,11,18,5,22,13,11
0,2,0,4,1,0,0,1
1,2,0,0,3,9,1,4
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0
1,3,0,1,0,1,0,0
0,0,0,0,3,1,1,2
0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0
2,0,1,0,0,0,0,0
5,1,3,3,7,1,2,0
1,4,4,1,3,4,1,0
0,0,0,0,0,0,2,0
0,0,0,0,4,1,1,4
14,9,11,9,2,1,4,1
0,0,0,0,1,0,0,0
84,95,30,53,40,51,39,33
0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,1,0,1,0
