ca2,ca4,ca6,ca8,cb2,cb4,cb6,cb8
1,0,0,0,2,0,0,1
28,21,13,38,10,9,33,13
8,5,5,4,3,2,1,4
0,0,0,0,1,0,0,0
3,2,1,5,1,1,1,3
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
1,0,0,8,10,12,3,5
0,0,0,0,0,0,0,1
1,1,2,3,0,0,1,1
0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0
0,0,0,0,3,0,0,0
19,15,4,12,8,12,11,8
0,0,0,0,0,0,1,0
2,0,0,1,1,0,1,1
2,0,1,5,3,4,2,9
0,0,0,0,0,0,1,0
0,0,0,2,0,0,1,2
2,2,0,1,0,1,2,0
0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,3,0,0,0
0,1,0,0,2,1,0,0
4,0,0,5,1,0,2,2
0,2,4,2,1,0,1,0
0,0,0,0,4,11,5,9
45,29,12,98,104,78,73,141
0,0,0,0,0,0,0,1
0,1,0,1,0,0,0,1
