ua1,ua3,ua5,ua7,ub1,ub3,ub5,ub7
1,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0
3,11,6,9,13,39,14,26
0,0,0,0,1,1,0,1
0,1,0,2,0,0,0,0
3,1,0,1,0,0,0,0
0,1,0,1,0,0,0,0
0,0,1,7,0,0,0,1
0,0,0,0,1,0,0,4
0,1,1,0,0,2,0,2
0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0
3,0,3,3,0,1,1,0
1,0,0,0,0,0,0,1
1,1,3,1,0,0,0,0
1,0,1,0,0,0,0,0
2,6,1,12,1,4,1,8
0,1,0,0,0,0,0,0
0,2,1,2,4,1,1,3
0,0,1,0,0,0,0,0
0,0,0,0,2,0,0,0
3,0,1,8,0,0,0,0
8,20,3,9,3,2,3,3
1,0,1,2,1,0,0,0
0,0,0,1,0,0,0,0
2,3,0,0,32,18,11,22
0,1,0,2,0,0,0,0
0,0,0,0,0,0,0,1
19,16,14,51,32,32,11,27
0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0
1,1,0,3,18,15,7,10
1,0,0,0,1,1,0,1
