ua2,ua4,ua6,ua8,ub2,ub4,ub6,ub8
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,2,0,0
31,43,74,91,22,24,59,47
0,0,1,0,0,0,1,0
0,1,2,0,1,0,1,2
0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0
0,0,0,0,1,0,0,0
1,0,3,0,1,1,1,1
0,0,0,0,2,2,1,3
0,0,0,0,0,0,1,0
0,0,0,0,0,1,2,1
0,0,0,0,0,0,0,1
0,4,8,4,7,11,8,8
0,1,1,4,5,9,2,16
0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,0
1,0,0,0,0,2,0,0
0,0,0,0,2,6,7,9
0,1,1,0,0,0,1,1
18,4,25,13,6,12,2,2
0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,1
15,11,39,28,65,32,68,53
1,0,0,0,0,0,0,0
8,11,11,7,4,0,1,1
0,0,0,0,1,0,0,0
0,1,1,2,0,0,0,0
