ca1,ca3,ca5,ca7,cb1,cb3,cb5,cb7
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,2,0,0,0,0,0,0
0,4,2,1,9,9,3,26
0,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0
1,2,2,0,1,1,1,3
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0
0,9,1,0,1,1,0,2
0,0,0,0,0,1,0,1
1,10,6,1,8,4,1,11
0,2,1,0,0,0,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,2
1,2,1,1,1,1,0,3
1,1,0,5,14,5,7,21
0,0,0,1,0,0,4,2
0,2,0,0,5,4,10,6
0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,2
0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,0
0,1,2,0,0,0,1,4
7,6,0,0,3,1,2,10
0,0,0,0,0,0,1,4
1,0,0,0,0,0,0,1
0,0,0,1,0,0,0,1
1,2,2,3,3,1,3,5
0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0
1,3,2,0,12,4,4,5
0,0,1,2,0,0,0,5
1,0,1,0,4,0,1,10
3,1,0,2,3,0,6,5
31,38,7,7,15,12,22,29
0,0,0,1,0,3,1,0
0,0,0,0,1,0,0,0
0,1,1,0,1,0,0,1
0,0,0,0,0,1,0,0
0,0,0,0,2,1,0,1
0,0,0,0,0,0,0,1
