ua1,ua3,ua5,ua7,ub1,ub3,ub5,ub7
1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,2
0,0,0,0,2,4,5,0
6,6,7,12,68,38,22,19
0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,1
2,2,3,2,0,0,0,1
3,9,6,2,0,0,0,1
1,0,3,1,3,5,2,2
0,0,0,0,1,0,0,0
0,0,0,1,13,1,2,13
0,0,0,0,0,1,1,0
0,1,1,0,0,1,1,1
0,0,2,0,0,0,0,0
2,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
2,0,0,0,0,0,0,6
0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0
0,1,2,1,7,1,1,2
0,0,0,0,1,0,0,0
0,0,0,2,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,1,0,1,3
0,0,0,0,0,0,0,1
6,7,12,5,1,0,3,2
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,2
10,19,20,3,0,1,1,5
3,0,4,1,6,0,1,1
0,0,0,0,1,0,0,1
0,2,1,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,3
2,0,0,1,1,2,1,2
0,0,0,0,2,0,0,1
0,0,0,0,0,1,0,0
