ua2,ua4,ua6,ua8,ub2,ub4,ub6,ub8
0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,5,0,0
13,5,11,3,0,0,0,0
0,1,1,1,0,0,0,1
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,1,0,3,3,1,3,1
4,1,1,1,0,0,0,0
1,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1
33,39,23,10,9,1,0,0
3,2,1,2,0,2,0,0
0,0,1,3,0,0,0,0
0,0,0,0,0,1,1,1
5,5,0,0,0,1,0,3
0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0
2,3,2,0,4,2,1,4
0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0
0,0,2,1,0,0,0,0
43,33,7,19,0,0,3,0
1,4,0,2,1,0,1,2
0,4,2,1,4,2,3,3
0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0
