1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31
3,2,2,0,3,2,1,0,0,4,0,3,1,0,1,0
0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1
2,3,2,1,7,0,8,8,2,1,1,2,0,0,4,0
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3,6,2,8,2,1,16,7,5,0,1,4,0,3,5,0
0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,3,0,0,3,0,0,1,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,0,0,0,2,0,0,0,0,0,1,1,0,1,0
0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
22,38,19,14,8,6,26,16,10,2,3,1,11,18,5,15
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0
4,8,3,2,1,1,2,1,1,3,0,1,1,0,2,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,3,3,2,0,2,1,1,0,1,0,1,3,3,0
2,4,2,4,7,2,3,3,2,0,1,1,3,5,3,2
0,0,1,2,1,0,6,0,0,1,0,4,0,3,3,0
0,0,1,0,0,0,1,0,0,0,0,10,1,1,2,0
1,2,1,2,7,0,2,0,0,0,0,40,1,0,0,1
0,0,0,0,0,0,0,0,0,1,6,1,0,0,1,0
15,23,2,21,9,4,0,6,12,4,2,1,31,33,5,1
14,7,5,20,16,5,5,7,4,5,12,51,13,16,10,8
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,4,5,0,1,2,2,0,0,4,0,0,2,0,1,0
2,1,7,1,1,0,0,0,0,2,2,1,1,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
