trap,strata,acesta,aglaura,alardus,alsina,amphinome,amphiro,anius,annulata,antonoe,arcius,asander,astylos,atthis,aulica,aureola,barnesi,beltiana,busirus,camilla,cassina,cassina2,cassina3,chlororhoa,cleomestra,confusa,crameri,cydno,cypris,demophon,demophoon,dinora,dirce,doris,echina,erotia,eunice,fabricia,fatimella,gerdrudtus,glauce,heraclea,hermes,ilex,inca,isidora,janthina,jurgensenii,kupris,laertes,laodamia,laothoe,leuceria,lyca,lypera,lyra,maculata,marchalii,messana,mithrax,mora,moruus,naxia,nenia,norica,numilia,orgetorix,orites,orphise,otolais,panariste,periander,philipponi,phintias,phraxanor,phylaca,pigmalion,porcius,pseudoconfusa,pulchra,pythagoras,ryphea,sara,serpa,sp1,sp2,stelenes,stella,tamarindi,teleus,xanthicles,zeuxippus
1a,canopy,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,6,0,0,0,0,0,1,0,0,0,0
3a,canopy,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0
5a,canopy,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,1,3,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0
7a,canopy,0,4,0,0,2,1,0,0,2,0,0,0,0,0,1,0,2,0,0,0,1,1,0,6,0,5,0,0,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,1,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,0
1b,canopy,0,5,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,19,1,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,2,0,1,1,0,0,3,1,0,0,0,0,2,2,0,0,0,0,5,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0
3b,canopy,0,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,1,1,0,0,1,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
5b,canopy,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7b,canopy,0,7,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,26,1,4,1,0,1,0,0,0,0,0,0,0,1,1,0,2,1,1,0,1,5,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,1,1,9,0,1,0,0,1,1,2,0,3,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1a,understorey,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a,understorey,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
