trap,strata,Achlyodes busirus,Adelpha barnesia,Adelpha cocala,Adelpha hesterbergi,Adelpha leuceria,Adelpha phylaca,Antirrhea philaretes,Antirrhea pterocopha,Arcas imperialis,Archaeoprepona camilla,Archaeoprepona demophon,Archaeoprepona demophoon,Baeotus beotus,Caerois gerdrudtus,Caligo atreus,Caligo brasiliensis,Caligo zeuxippus,Callicore atacama,Callicore lyca,Catoblepia orgetorix,Catoblepia xanthicles,Catonephele numilia,Catonephele orites,Chloreuptychia arnaca,Cissia confusa,Cithaerias pireta,Colobura annulata,Colobura dirce,Consul electra,Consul panariste,Diaethria clymena,Dulcedo polita,Eunica norica,Euselasia sp1,Fountainea ryphea,Fountainea titan,Haetera piera,Hamadryas laodamia,Hermeuptychia hermes,Historis acheronta,Historis odius,Hypna clytemnestra,Magneuptychia inani,Magneuptychia mycalesis,Manataria hercyna,Megeuptychia antonoe,Memphis aulica,Memphis aureola,Memphis cleomestra,Memphis glauce,Memphis juliani,Memphis mora,Memphis nenia,Memphis offa,Mesosemia sp1,Morpho amathonte,Morpho helenor,Morpho theseus,Necyria duellona,Neoxeniades pluviasilva,Nessaea aglaura,Opsiphanes bogotanus,Opsiphanes invirae,Opsiphanes quiteria,Opsiphanes tamarindi,Opsiphanes unidentifiable,Pareuptychia ocirrhoe,Pierella helvina,Pierella luna,Prepona dexamenus,Prepona gnorima,Prepona laertes,Pseudodebis puritana,Pyrrhogyra otolais,Satirinae sp1,Smyrna blomfildia,Taygetis inconspicua,Taygetis rufomarginata,Temenis laothoe,Tigridia acesta
2,canopy,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
4,canopy,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,canopy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,canopy,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,canopy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
18,canopy,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0
20,canopy,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3
22,canopy,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
24,canopy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
26,canopy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,1,0,5,1,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
