trap,strata,Adelpha boreas,Adelpha justina,Adelpha salmoneus,Archaeoprepona amphimachus,Caligo,Catonephele,Catonephele chromis,Chloreuptychia arnaca,Cithaerias cliftoni,Colobura annulata,Diaethria clymena,Doxocopa,Doxocopa laurentia,Dynamine tithia,Epiphile imperator,Epiphile orea,Eresia,Eretris calisto,Euptychoides albofasciata,Forsterinaria coipa,Forsterinaria neonympha,Fountainea nessus,Fountainea nobilis,Fountainea titan,Graphita griphe,Haetera macleannania,Hamadryas fornax,Heliconius melpomene,Hermeuptychia,Hermeuptychia atalanta,Hermeuptychia hermes,Historis acheronta,Hypothyris euclea,Magneuptychia,Magneuptychia alcinoe,Memphis,Memphis anassa,Memphis lineata,Memphis phoebe,Oxeoschistus protogenia,Pedaliodes manis,Pseudodebis valentina,Rhetus dysonii,Smyrna blomfildia,Splendeuptychia ashna,Taygetis,Taygetis chrysogone,Taygetis larua,Taygetis penelea,Taygetis thamyra,Taygetis virgilia,Timaeta timaeus
10,canopy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,canopy,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,canopy,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,canopy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,canopy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,canopy,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,canopy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,canopy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,canopy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,canopy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
