dosel	sotobosque
37	21
1	0
51	49
0	1
2	0
5	0
3	0
143	0
4	0
0	2
7	2
38	4
5	1
2	0
0	7
0	1
0	5
17	0
0	2
1	0
0	1
1	0
1	0
3	1
62	2
0	3
1	1
8	19
2	4
4	0
14	15
1	0
0	2
145	13
1	0
18	12
20	2
1	1
1	0
22	5
5	0
1	0
0	1
11	1
7	0
0	1
5	0
1	0
1	0
1	0
2	0
5	5
11	0
9	1
0	12
1	0
1	0
1	0
0	1
0	1
3	1
18	3
1	0
1	0
0	1
11	1
6	1
6	0
2	0
0	12
0	7
2	0
1	0
1	0
10	1
41	2
1	1
1	0
8	1
3	0
8	0
3	0
32	3
1	0
6	0
0	2
4	0
2	16
5	2
3	0
5	7
6	4
0	1
11	1
0	1
0	29
14	2
1	54
3	0
0	28
0	13
0	2
2	0
0	1
20	0
0	1
2	0
29	1
1	0
3	0
3	0
2	11
0	1
1	1
1	0
1	0
2	1
1	0
1	0
1	0
2	3
0	1
0	5
