canopy	understorey
3	6
3	1
1	0
2	5
7	3
1	0
2	0
4	2
1	0
3	0
3	0
12	1
0	1
1	1
0	3
0	6
8	2
0	1
2	132
1	21
0	2
9	29
22	24
7	3
0	1
3	0
0	1
0	8
2	0
2	37
1	20
0	2
2	1
2	1
1	3
3	22
3	0
9	10
16	52
3	1
0	7
0	11
0	8
0	1
0	88
8	19
2	7
0	2
0	1
24	37
0	1
1	3
0	1
27	10
1	0
0	46
0	58
0	39
1	0
1	0
0	1
0	1
0	6
0	1
0	3
4	0
18	13
1	3
1	0
61	41
1	0
4	3
0	74
2	0
6	0
3	0
14	7
1	0
1	0
11	0
3	2
1	0
7	32
1	32
1	0
0	2
0	1
0	1
0	1
9	0
16	0
3	105
1	0
3	0
1	0
0	10
2	0
0	1
1	2
12	3
1	0
3	0
9	2
164	89
2	1
67	32
138	74
1	0
1	0
6	1
2	1
0	1
1	0
1	0
1	5
0	1
1	1
0	4
0	3
1	0
0	1
1	6
0	1
0	1
0	1
5	8
1	2
3	32
0	3
0	1
1	2
30	52
0	5
4	8
2	0
0	1
0	1
1	6
1	0
1	0
1	0
3	0
1	0
5	2
1	0
3	500
0	28
0	2
2	1
0	1
2	2
0	1
1	0
15	5
2	2
0	1
33	12
55	36
0	3
3	4
0	1
0	1
0	1
0	1
0	1
3	0
1	5
0	10
0	1
0	1
24	5
34	11
3	1
15	74
0	4
2	5
9	10
