dosel	soto
1	0
2	1
13	18
2	1
1	0
2	0
4	3
2	1
0	2
0	1
11	2
11	6
1	1
4	14
0	24
1	5
0	9
0	1
1	1
0	6
0	2
0	1
1	1
1	1
2	4
1	1
1	4
0	1
0	12
1	0
1	14
0	17
0	2
2	0
1	1
0	7
0	13
0	1
9	18
0	1
0	1
1	11
59	76
5	3
0	1
1	0
0	6
8	13
9	3
0	1
0	1
2	2
2	3
0	5
1	0
0	6
15	2
0	1
0	4
5	2
1	0
0	1
0	10
2	0
4	18
4	73
1	0
0	1
0	31
0	3
0	1
0	3
0	2
0	3
0	1
0	1
0	1
0	7
0	14
0	2
0	1
0	7
0	1
0	2
0	1
0	2
0	1
0	1
0	4
0	2
0	1
1	0
1	0
1	0
0	1
2	2
0	1
1	1
0	1
0	1
0	4
0	4
0	5
5	8
3	5
6	33
8	41
14	5
2	3
42	15
0	3
51	39
0	1
0	5
0	1
0	2
0	3
1	0
2	10
5	8
4	0
0	4
1	1
0	1
1	3
0	18
0	2
0	2
1	0
0	6
0	1
2	3
0	1
2	3
0	2
1	5
3	26
0	5
8	0
1	0
1	0
0	3
0	4
1	0
0	1
2	7
11	16
82	55
