dosel	sotobosque
7	22
17	7
77	41
2	3
280	66
64	4
2	2
8	3
4	0
0	1
1	4
0	2
0	4
3	2
0	3
0	1
0	1
0	1
0	9
22	205
0	1
0	43
0	1
0	6
0	1
2	6
26	0
49	1
1	0
11	0
8	0
3	6
1	0
0	31
0	1
0	2
0	1
82	22
122	44
1	0
8	16
3	56
4	0
1	301
1	0
1	0
100	168
36	197
27	28
84	22
3	0
3	5
0	1
59	33
1	22
0	32
1	4
6	25
166	438
574	1742
0	5
1	0
0	1
12	35
3	6
0	1
323	1100
0	1
1	0
9	26
0	1
6	2
16	4
1	0
32	20
0	1
0	3
7	2
0	2
1	5
0	1
0	1
5	17
0	3
0	1
0	74
0	1
22	76
1	0
8	0
2	0
32	28
20	22
1	0
29	13
10	76
1	0
0	1
3	20
0	11
2	123
1	40
0	1
0	1
0	31
0	102
0	1
1	1
1	0
1	0
1	0
0	1
0	8
0	1
0	1
0	1
