dosel	sotobosque	total
0	7	7
1	2	3
13	0	13
70	38	108
2	4	6
33	19	52
27	59	86
8	38	46
2	0	2
129	16	145
14	5	19
18	11	29
5	2	7
137	39	176
4	4	8
52	48	100
6	7	13
289	61	350
75	20	95
3	2	5
6	0	6
20	28	48
9	2	11
2	0	2
1	0	1
62	14	76
1	0	1
1	0	1
0	3	3
0	1	1
3	94	97
0	1	1
0	4	4
18	46	64
0	2	2
1	1	2
1	1	2
3	11	14
2	1	3
1	0	1
0	5	5
1	0	1
1	10	11
1	0	1
28	264	293
5	24	29
1	10	11
1	33	34
0	4	4
0	1	1
0	3	3
1	1	2
1	0	1
1	0	1
71	27	98
0	1	1
1	0	1
3	0	3
3	3	6
3	1	4
4	0	4
6	236	242
1	119	120
13	0	13
1	0	1
0	5	5
0	5	5
1	18	19
0	29	29
0	1	1
0	1	1
21	1	22
10	0	10
7	0	7
19	0	19
1	0	1
2	1	3
4	1	5
12	4	16
5	0	5
2	2	4
0	1	1
0	66	66
1	1	2
2	0	2
0	1	1
0	4	4
2	14	16
0	1	1
2	83	85
0	1	1
0	8	8
18	100	118
6	110	116
2	97	99
0	46	46
11	12	23
47	389	436
217	380	599
1	5	6
1	0	1
4	0	4
1	0	1
0	1	1
8	5	13
3	0	3
0	6	6
3	94	97
2	30	32
0	7	7
1	95	96
0	2	2
2	0	2
0	6	6
1	12	13
1	2	3
7	25	32
9	241	250
4	18	22
1	4	5
0	51	51
2	8	10
18	138	156
5	45	50
4	12	16
1	0	1
43	2	45
1	0	1
32	2	34
1	0	1
2	0	2
1	0	1
130	37	167
8	6	14
2	5	7
2	0	2
1	1	2
35	85	120
3	1	4
1	0	1
0	3	3
10	3	13
0	1	1
3	24	27
1	2	3
2	0	2
6	1	7
0	1	1
1	182	183
8	382	390
11	75	86
2	0	2
6	1	7
5	4	9
1	2	3
2	76	78
1	9	10
0	1	1
1	6	7
1	31	32
0	4	4
0	1	1
0	1	1
0	2	2
1	0	1
46	2	48
5	7	12
1	1	2
10	3	13
4	1	5
0	1	1
10	2	12
0	5	5
2	0	2
6	0	6
5	4	9
1	0	1
3	56	59
2	1	3
1	0	1
1	0	1
4	0	4
1	0	1
2	2	4
0	1	1
0	7	7
0	4	4
0	4	4
0	3	3
1	13	14
0	3	3
2	3	5
0	1	1
1	0	1
0	9	9
3	5	8
1	0	1
0	1	1
0	3	3
3	14	17
0	5	5
5	11	16
1	0	1
2	1	3
0	13	13
0	7	7
1	17	18
0	2	2
1	2	3
0	20	20
0	1	1
0	2	2
5	101	106
0	1	1
10	21	31
0	1	1
0	57	57
11	0	11
83	145	228
6	3	9
1	20	21
3	0	3
15	13	28
0	1	1
2	2	4
2	0	2
2	0	2
6	5	11
4	2	6
2	0	2
1	0	1
2	4	6
0	1	1
1	36	37
2	27	29
42	583	625
0	5	5
0	2	2
0	4	4
0	2	2
0	7	7
0	1	1
0	2	2
0	17	17
1	9	10
0	1	1
0	5	5
0	3	3
0	2	2
0	1	1
0	1	1
4	0	4
4	14	18
0	2	2
1	7	8
0	1	1
0	2	2
0	2	2
0	8	8
0	4	4
0	5	5
0	5	5
0	4	4
0	2	2
1	0	1
0	1	1
0	2	2
0	1	1
1	5	6
0	1	1
0	1	1
0	2	2
0	6	6
0	1	1
0	2	2
1	0	1
0	2	2
0	1	1
0	3	3
1	6	7
0	1	1
21	1	22
10	1	11
1	0	1
0	3	3
1	4	5
0	1	1
0	11	11
0	13	13
0	14	14
0	1	1
0	2	2
0	1	1
4	31	35
0	1	1
0	6	6
0	1	1
12	3	15
2	0	2
3	6	9
0	1	1
1	0	1
2	0	2
1	1	2
0	5	5
0	1	1
10	0	10
0	1	1
2	8	10
0	1	1
0	2	2
1	0	1
22	36	58
2	0	2
4	4	8
1	3	4
0	51	51
1	2	3
1	0	1
0	2	2
0	1	1
90	95	185
8	14	22
1	1	2
0	5	5
1	0	1
0	1	1
113	422	535
1	1	2
17	17	34
2	5	7
0	1	1
51	107	158
2	7	9
18	65	83
5	11	16
10	23	33
0	2	2
65	171	236
8	9	17
2	6	8
1	0	1
4	6	10
4	4	8
0	1	1
0	2	2
0	1	1
0	1	1
0	2	2
1	0	1
0	4	4
15	0	15
4	58	62
0	30	30
1	193	194
0	1	1
1	34	35
0	1	1
48	653	701
2	4	6
1	3	4
0	7	7
1	0	1
2	1	3
0	12	12
0	2	2
3	239	242
3	202	205
0	22	22
1	10	11
0	1	1
0	1	1
0	1	1
0	1	1
0	1	1
0	1	1
0	1	1
0	1	1
0	1	1
1	5	6
1	1	2
0	2	2
2	3	5
0	1	1
1	6	7
0	10	10
1	11	12
